认识		1	{"pinyin": "ren4 shi5", "word_sp": "认识", "word_tr": "認識", "glosses": ["to know", "to recognize", "to be familiar with", "to get acquainted with sb", "knowledge", "understanding", "awareness", "cognition"]}
三		1	{"pinyin": "san1", "word_sp": "三", "word_tr": "三", "glosses": ["three", "3"]}
商店		1	{"pinyin": "shang1 dian4", "word_sp": "商店", "word_tr": "商店", "glosses": ["store", "shop", "CL:家[jia1],個|个[ge4]"]}
上		1	{"pinyin": "shang4", "word_sp": "上", "word_tr": "上", "glosses": ["on top", "upon", "above", "upper", "previous", "first (of multiple parts)", "to climb", "to get onto", "to go up", "to attend (class or university)"]}
上午		1	{"pinyin": "shang4 wu3", "word_sp": "上午", "word_tr": "上午", "glosses": ["morning", "CL:個|个[ge4]"]}
少		1	{"pinyin": "shao3", "word_sp": "少", "word_tr": "少", "glosses": ["few", "less", "to lack", "to be missing", "to stop (doing sth)", "seldom"]}
谁		1	{"pinyin": "shei2", "word_sp": "谁", "word_tr": "誰", "glosses": ["who", "also pr. [shui2]"]}
什么		1	{"pinyin": "shen2 me5", "word_sp": "什么", "word_tr": "什麼", "glosses": ["what?", "who?", "something", "anything"]}
十		1	{"pinyin": "shi2", "word_sp": "十", "word_tr": "十", "glosses": ["ten", "10"]}
时候		1	{"pinyin": "shi2 hou5", "word_sp": "时候", "word_tr": "時候", "glosses": ["time", "length of time", "moment", "period"]}
是		1	{"pinyin": "shi4", "word_sp": "是", "word_tr": "是", "glosses": ["is", "are", "am", "yes", "to be"]}
书		1	{"pinyin": "shu1", "word_sp": "书", "word_tr": "書", "glosses": ["book", "letter", "document", "CL:本[ben3],冊|册[ce4],部[bu4]", "to write"]}
水		1	{"pinyin": "shui3", "word_sp": "水", "word_tr": "水", "glosses": ["water", "river", "liquid", "beverage", "additional charges or income", "(of clothes) classifier for number of washes"]}
水果		1	{"pinyin": "shui3 guo3", "word_sp": "水果", "word_tr": "水果", "glosses": ["fruit", "CL:個|个[ge4]"]}
睡觉		1	{"pinyin": "shui4 jiao4", "word_sp": "睡觉", "word_tr": "睡覺", "glosses": ["to go to bed", "to sleep"]}
说		1	{"pinyin": "shuo1", "word_sp": "说", "word_tr": "說", "glosses": ["to speak", "to say", "to explain", "to scold", "to tell off", "a theory (usually in compounds such as 日心说 heliocentric theory)"]}
四		1	{"pinyin": "si4", "word_sp": "四", "word_tr": "四", "glosses": ["four", "4"]}
岁		1	{"pinyin": "sui4", "word_sp": "岁", "word_tr": "歲", "glosses": ["classifier for years (of age)", "year", "year (of crop harvests)"]}
他		1	{"pinyin": "ta1", "word_sp": "他", "word_tr": "他", "glosses": ["he or him", "(used for either sex when the sex is unknown or unimportant)", "(used before sb's name for emphasis)", "(used as a meaningless mock object)", "other", "another"]}
她		1	{"pinyin": "ta1", "word_sp": "她", "word_tr": "她", "glosses": ["she"]}
太		1	{"pinyin": "tai4", "word_sp": "太", "word_tr": "太", "glosses": ["highest", "greatest", "too (much)", "very", "extremely"]}
天气		1	{"pinyin": "tian1 qi4", "word_sp": "天气", "word_tr": "天氣", "glosses": ["weather"]}
听		1	{"pinyin": "ting1", "word_sp": "听", "word_tr": "聽", "glosses": ["to listen", "to hear", "to obey", "a can (loanword from English \"tin\")", "classifier for canned beverages"]}
同学		1	{"pinyin": "tong2 xue2", "word_sp": "同学", "word_tr": "同學", "glosses": ["to study at the same school", "fellow student", "classmate", "CL:位[wei4],個|个[ge4]"]}
喂	叹词	1	{"pinyin": "wei2", "word_sp": "喂", "word_tr": "喂", "glosses": ["hello (when answering the phone)"]}
我		1	{"pinyin": "wo3", "word_sp": "我", "word_tr": "我", "glosses": ["I", "me", "my"]}
我们		1	{"pinyin": "wo3 men5", "word_sp": "我们", "word_tr": "我們", "glosses": ["we", "us", "ourselves", "our"]}
五		1	{"pinyin": "wu3", "word_sp": "五", "word_tr": "五", "glosses": ["five", "5"]}
喜欢		1	{"pinyin": "xi3 huan5", "word_sp": "喜欢", "word_tr": "喜歡", "glosses": ["to like", "to be fond of"]}
下		1	{"pinyin": "xia4", "word_sp": "下", "word_tr": "下", "glosses": ["down", "downwards", "below", "lower", "later", "next (week etc)", "second (of two parts)", "to decline", "to go down", "to arrive at (a decision, conclusion etc)", "measure word to show the frequency of an action"]}
下午		1	{"pinyin": "xia4 wu3", "word_sp": "下午", "word_tr": "下午", "glosses": ["afternoon", "CL:個|个[ge4]", "p.m."]}
下雨		1	{"pinyin": "xia4 yu3", "word_sp": "下雨", "word_tr": "下雨", "glosses": ["to rain"]}
先生		1	{"pinyin": "Xian1 sheng5", "word_sp": "先生", "word_tr": "先生", "glosses": ["Mister (Mr.)"]}
先生		1	{"pinyin": "xian1 sheng5", "word_sp": "先生", "word_tr": "先生", "glosses": ["teacher", "husband", "doctor (dialect)", "CL:位[wei4]"]}
现在		1	{"pinyin": "xian4 zai4", "word_sp": "现在", "word_tr": "現在", "glosses": ["now", "at present", "at the moment", "modern", "current", "nowadays"]}
想		1	{"pinyin": "xiang3", "word_sp": "想", "word_tr": "想", "glosses": ["to think", "to believe", "to suppose", "to wish", "to want", "to miss (feel wistful about the absence of sb or sth)"]}
小		1	{"pinyin": "xiao3", "word_sp": "小", "word_tr": "小", "glosses": ["small", "tiny", "few", "young"]}
小姐		1	{"pinyin": "xiao3 jie5", "word_sp": "小姐", "word_tr": "小姐", "glosses": ["young lady", "miss", "(slang) prostitute", "CL:個|个[ge4],位[wei4]"]}
些		1	{"pinyin": "xie1", "word_sp": "些", "word_tr": "些", "glosses": ["some", "few", "several", "measure word indicating a small amount or small number (greater than 1)"]}
写		1	{"pinyin": "xie3", "word_sp": "写", "word_tr": "寫", "glosses": ["to write"]}
谢谢		1	{"pinyin": "xie4 xie5", "word_sp": "谢谢", "word_tr": "謝謝", "glosses": ["to thank", "thanks", "thank you"]}
星期		1	{"pinyin": "xing1 qi1", "word_sp": "星期", "word_tr": "星期", "glosses": ["week", "CL:個|个[ge4]", "day of the week", "Sunday"]}
学生		1	{"pinyin": "xue2 sheng5", "word_sp": "学生", "word_tr": "學生", "glosses": ["student", "schoolchild"]}
学习		1	{"pinyin": "xue2 xi2", "word_sp": "学习", "word_tr": "學習", "glosses": ["to learn", "to study"]}
学校		1	{"pinyin": "xue2 xiao4", "word_sp": "学校", "word_tr": "學校", "glosses": ["school", "CL:所[suo3]"]}
一		1	{"pinyin": "yi1", "word_sp": "一", "word_tr": "一", "glosses": ["one", "1", "single", "a (article)", "as soon as", "entire", "whole", "all", "throughout", "\"one\" radical in Chinese characters (Kangxi radical 1)", "also pr. [yao1] for greater clarity when spelling out numbers digit by digit"]}
一点		1	{"pinyin": "yi1 dian3", "word_sp": "一点", "word_tr": "一點", "glosses": ["a bit", "a little", "one dot", "one point"]}
一点儿		1	{"pinyin": "yi1 dian3 r5", "word_sp": "一点儿", "word_tr": "一點兒", "glosses": ["erhua variant of 一點|一点[yi1 dian3]"]}
衣服		1	{"pinyin": "yi1 fu5", "word_sp": "衣服", "word_tr": "衣服", "glosses": ["clothes", "CL:件[jian4],套[tao4]"]}
医生		1	{"pinyin": "yi1 sheng1", "word_sp": "医生", "word_tr": "醫生", "glosses": ["doctor", "CL:個|个[ge4],位[wei4],名[ming2]"]}
